"Mnemonic","Opcode","Operands","Description"
"INC","$00","<tar>(8R, 16R, Mx) <tar-aop>",
"DEC","$01","<tar>(8R, 16R, Mx) <tar-aop>",
"ADD","$02","<src>(CV, 8R, Mx) <tar>(8R, Mx) <src-aop> <tar-aop>","Add src to tar without carry"
"ADDC","$03","<src>(CV, 8R, Mx) <tar>(8R, Mx) <src-aop> <tar-aop>","Add src to tar with carry"
"SUB","$04","<src>(CV, 8R, Mx) <tar>(8R, Mx) <src-aop> <tar-aop>","subtract src from tar without borrow"
"SUBB","$05","<src>(CV, 8R, Mx) <tar>(8R, Mx) <src-aop> <tar-aop>","subtract src from tar with borrow"
"ROL","$06",,
"ROLC","$07",,
"ROR","$08",,
"RORC","$09",,
"AND","$0A",,
"OR","$0B","<src>(CV, 8R, Mx) <tar>(8R, Mx) <src-aop> <tar-aop>","or src with tar"
"XOR","$0C",,
"CMP","$0D",,
"PUSH","$0E",,
"POP","$0F",,
"JMP","$10","<src>(CV8) <tar>(Mx) <src-aop> <tar-aop>","jump to tar if status bit <src> is 1, bit 7 of src inverts the choice"
"JSR","$11",,
"NOP","$12",,
"MOV","$13","<src>CV, 8R, 16R, Mx <tar>(8R, 16R, Mx) <src-aop> <tar-aop>","Move (copy) src to tar"